Year,Series,Company,Name,Secondary Name,Faction,No.,Alternate Mode,Size Class,Notes,Distribution,Original Price
1984,The Transformers,Hasbro,Optimus Prime,Convoy,Autobot,-,White Freightliner Cabover Engine Tractor Trailer FLA 8664T,Autobot Commander,White Freightliner Cabover Engine Tractor Trailer FLA 8664T. The early versions were near identical to the Diaclone Battle Convoy & came with metal plates in the trailer rather than stickers and it also came with  'swollen' accessories and a grey Roller. The early box also featured an error; the radar dish is visible under the box art and has not been cropped from the underside of the box. Later releases had the standard thinner gun and blue Roller and stickers in the trailer instead of metal plates.,Mainline,$23.99
1984,The Transformers,Hasbro,Bluestreak,Streak,Autobot,-,Nissan Fairlady 280Z-T,Autobot Car,"Silver Nissan Fairlady 280Z-T. Although the box art and catalogues depict a ""blue"" Bluesteak, this was not released in the Transformers line.",Mainline,$9.95
1984,The Transformers,Hasbro,Hound,Hound,Autobot,-,Mitsubishi J59 Jeep,Autobot Car,Near identical to the original Diaclone version,Mainline,$9.95
1984,The Transformers,Hasbro,Ironhide,Ironhide,Autobot,-,Nissan Cherry Vanette,Autobot Car,"Red Cherry Vannette, this colour was unreleased in the Japanese Diaclone series but did appear in GiGs Trasformer series. Ironhide was also unreleased in Japan. As Ironhide did not have a head, there was a face sticker included to attach to the drivers seat.",Mainline,$9.95
1984,The Transformers,Hasbro,Jazz,Meister,Autobot,-,1976 Martini Racing Porsche 935 Turbo,Autobot Car,"Martini (deliberately misspelt Martinii) team racing livery. Takara had previously released a Cosmo Porsche in 1977 under the Microman Command line, these came in red, blue and white.",Mainline,$9.95
1984,The Transformers,Hasbro,Mirage,Ligier,Autobot,-,Citanes JS11-F1 Racing Car,Autobot Car,"Citanes is a reworded ""Gitanes"" which are a brand of French cigarettes",Mainline,$9.95
1984,The Transformers,Hasbro,Prowl,Prowl,Autobot,-,Nissan Fairlady 280Z-T Police Car,Autobot Car,"Based on the Nissan Fairlady Z (S130), marketed internationally as the Datsun 280ZX. The livery is based on a Japanese Aichi Prefecture Highway Patrol cruiser rather than an American police car, despite featuring English ""POLICE"" and ""HIGHWAY PATROL"" door decals. The door shields originally retained Japanese characters (Keishicho) in Diaclone, which were altered to a stylized crest for Transformers. Early G1 releases retain the ""Datsun"" branding stamped into the rear bumper chrome and red plastic light bar brackets, later simplified to clear/red plastic.",Mainline,$9.95
1984,The Transformers,Hasbro,Ratchet,Ratchet,Autobot,-,Nissan Onebox Cherry Vanette ambulance,Autobot Car,"Ratchet was initially supposed to be a female character, the name is based on ""Nurse Rached"" from ""One Flew Over the Cuckoo's Nest"". The early versions of Ratchet feature a red cross on the van roof which is also depicted on the box art. This was later removed, potentially at the Red Cross' (international humanitarian aid group) as they are protective of their brand. As Ratchet did not have a head, there was a face sticker included to attach to the drivers seat.",Mainline,$9.95
1984,The Transformers,Hasbro,Sideswipe,Lambor,Autobot,-,Lamborghini Countach LP500S,Autobot Car,"Red Lamborghini Countach LP500S. Due to the similarities with Sunstreaker, their profiles were accidentlly switched.",Mainline,$9.95
1984,The Transformers,Hasbro,Skids,Skids,Autobot,-,Honda City Turbo,Autobot Car,"Honda City Turbo. Skids was released late 1984 although he was not advertised with the 1984 Autobot cars. There are two different versions of the box, one with a 1984 date and the other with a 1985 date and amended product code. Takara's 2002 reissue of Skids confirms the 1984 release date.",Mainline,$9.95
